Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,1.5
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.4
,
,
,
Label,
TIME,CH1
5.000000e-01,0.08
5.000200e-01,0.2
5.000400e-01,0.1
5.000600e-01,-0.14
5.000800e-01,-0.42
5.001000e-01,-0.28
5.001200e-01,-0.02
5.001400e-01,0.14
5.001600e-01,0.2
5.001800e-01,0.26
5.002000e-01,0.18
5.002200e-01,-0.04
5.002400e-01,-0.26
5.002600e-01,-0.3
5.002800e-01,-0.16
5.003000e-01,-0.12
5.003200e-01,0.06
5.003400e-01,0.38
5.003600e-01,0.36
5.003800e-01,-0.18
5.004000e-01,-0.36
5.004200e-01,-0.04
5.004400e-01,0.24
5.004600e-01,-0.02
5.004800e-01,-0.5
5.005000e-01,-0.4
5.005200e-01,0.14
5.005400e-01,0.46
5.005600e-01,0.52
5.005800e-01,0.18
5.006000e-01,-0.26
5.006200e-01,-0.48
5.006400e-01,-0.42
5.006600e-01,-0.1
5.006800e-01,0.26
5.007000e-01,0.28
5.007200e-01,0.08
5.007400e-01,0.04
5.007600e-01,0.26
5.007800e-01,0.08
5.008000e-01,-0.44
5.008200e-01,-0.82
5.008400e-01,-0.44
5.008600e-01,0.56
5.008800e-01,1.08
5.009000e-01,0.76
5.009200e-01,-0.22
5.009400e-01,-0.96
5.009600e-01,-0.94
5.009800e-01,-0.28
5.010000e-01,0.54
5.010200e-01,0.86
5.010400e-01,0.5
5.010600e-01,-0.2
5.010800e-01,-0.6
5.011000e-01,-0.36
5.011200e-01,0.12
5.011400e-01,0.36
5.011600e-01,-1.11022e-16
5.011800e-01,-0.32
5.012000e-01,-0.38
5.012200e-01,-0.18
5.012400e-01,0.12
5.012600e-01,0.4
5.012800e-01,0.54
5.013000e-01,0.4
5.013200e-01,-0.24
5.013400e-01,-0.76
5.013600e-01,-0.68
5.013800e-01,-0.22
5.014000e-01,0.3
5.014200e-01,0.56
5.014400e-01,0.54
5.014600e-01,0.26
5.014800e-01,-0.18
5.015000e-01,-0.56
5.015200e-01,-0.54
5.015400e-01,-0.28
5.015600e-01,0.08
5.015800e-01,0.3
5.016000e-01,0.34
5.016200e-01,0.28
5.016400e-01,0.14
5.016600e-01,-0.08
5.016800e-01,-0.26
5.017000e-01,-0.2
5.017200e-01,-0.04
5.017400e-01,-0.02
5.017600e-01,-0.14
5.017800e-01,-0.06
5.018000e-01,0.32
5.018200e-01,0.46
5.018400e-01,0.12
5.018600e-01,-0.36
5.018800e-01,-0.54
5.019000e-01,-0.26
5.019200e-01,0.18
5.019400e-01,0.36
5.019600e-01,0.32
5.019800e-01,-0.08
5.020000e-01,-0.46
5.020200e-01,-0.44
5.020400e-01,-0.04
5.020600e-01,0.38
5.020800e-01,0.44
5.021000e-01,0.24
5.021200e-01,-0.12
5.021400e-01,-0.4
5.021600e-01,-0.44
5.021800e-01,-0.18
5.022000e-01,0.12
5.022200e-01,0.36
5.022400e-01,0.32
5.022600e-01,0.2
5.022800e-01,-0.14
5.023000e-01,-0.5
5.023200e-01,-0.52
5.023400e-01,-0.2
5.023600e-01,0.22
5.023800e-01,0.42
5.024000e-01,0.52
5.024200e-01,0.44
5.024400e-01,-0.06
5.024600e-01,-0.66
5.024800e-01,-0.8
5.025000e-01,-0.4
5.025200e-01,0.18
5.025400e-01,0.4
5.025600e-01,0.56
5.025800e-01,0.44
5.026000e-01,0.16
5.026200e-01,-0.22
5.026400e-01,-0.26
5.026600e-01,-0.2
5.026800e-01,-0.24
5.027000e-01,-0.26
5.027200e-01,0.02
5.027400e-01,0.46
5.027600e-01,0.66
5.027800e-01,0.2
5.028000e-01,-0.48
5.028200e-01,-0.8
5.028400e-01,-0.58
5.028600e-01,0.04
5.028800e-01,0.46
5.029000e-01,0.5
5.029200e-01,0.32
5.029400e-01,0.2
5.029600e-01,0.02
5.029800e-01,-0.24
5.030000e-01,-0.48
5.030200e-01,-0.46
5.030400e-01,-0.12
5.030600e-01,0.48
5.030800e-01,0.72
5.031000e-01,0.4
5.031200e-01,-0.42
5.031400e-01,-0.86
5.031600e-01,-0.5
5.031800e-01,0.16
5.032000e-01,0.46
5.032200e-01,0.2
5.032400e-01,-0.1
5.032600e-01,-0.08
5.032800e-01,0.1
5.033000e-01,0.1
5.033200e-01,-1.11022e-16
5.033400e-01,-0.14
5.033600e-01,-0.24
5.033800e-01,-0.2
5.034000e-01,0.04
5.034200e-01,0.2
5.034400e-01,0.12
5.034600e-01,-0.16
5.034800e-01,-0.22
5.035000e-01,0.06
5.035200e-01,0.38
5.035400e-01,0.46
5.035600e-01,0.02
5.035800e-01,-0.58
5.036000e-01,-0.72
5.036200e-01,-0.28
5.036400e-01,0.44
5.036600e-01,0.82
5.036800e-01,0.68
5.037000e-01,0.14
5.037200e-01,-0.5
5.037400e-01,-0.9
5.037600e-01,-0.72
5.037800e-01,-0.02
5.038000e-01,0.68
5.038200e-01,0.72
5.038400e-01,0.3
5.038600e-01,-0.18
5.038800e-01,-0.42
5.039000e-01,-0.38
5.039200e-01,-0.04
5.039400e-01,0.22
5.039600e-01,0.22
5.039800e-01,0.08
5.040000e-01,0.12
5.040200e-01,0.2
5.040400e-01,0.12
5.040600e-01,-0.2
5.040800e-01,-0.4
5.041000e-01,-0.3
5.041200e-01,-0.06
5.041400e-01,0.14
5.041600e-01,0.3
5.041800e-01,0.32
5.042000e-01,0.26
5.042200e-01,0.04
5.042400e-01,-0.26
5.042600e-01,-0.44
5.042800e-01,-0.38
5.043000e-01,-0.14
5.043200e-01,0.3
5.043400e-01,0.66
5.043600e-01,0.64
5.043800e-01,0.1
5.044000e-01,-0.6
5.044200e-01,-0.92
5.044400e-01,-0.76
5.044600e-01,-0.12
5.044800e-01,0.68
5.045000e-01,1.1
5.045200e-01,0.82
5.045400e-01,-0.12
5.045600e-01,-0.94
5.045800e-01,-1.04
5.046000e-01,-0.4
5.046200e-01,0.52
5.046400e-01,0.92
5.046600e-01,0.6
5.046800e-01,-0.2
5.047000e-01,-0.66
5.047200e-01,-0.46
5.047400e-01,0.2
5.047600e-01,0.72
5.047800e-01,0.52
5.048000e-01,-0.28
5.048200e-01,-0.82
5.048400e-01,-0.52
5.048600e-01,0.24
5.048800e-01,0.74
5.049000e-01,0.72
5.049200e-01,0.14
5.049400e-01,-0.44
5.049600e-01,-0.66
5.049800e-01,-0.48
5.050000e-01,-0.06
5.050200e-01,0.32
5.050400e-01,0.4
5.050600e-01,0.26
5.050800e-01,-0.04
5.051000e-01,-0.32
5.051200e-01,-0.12
5.051400e-01,0.24
5.051600e-01,0.3
5.051800e-01,0.14
5.052000e-01,-0.12
5.052200e-01,-0.4
5.052400e-01,-0.44
5.052600e-01,-0.14
5.052800e-01,0.32
5.053000e-01,0.52
5.053200e-01,0.48
5.053400e-01,0.2
5.053600e-01,-0.44
5.053800e-01,-0.84
5.054000e-01,-0.58
5.054200e-01,0.34
5.054400e-01,1
5.054600e-01,0.78
5.054800e-01,-0.06
5.055000e-01,-0.66
5.055200e-01,-0.62
5.055400e-01,-0.2
5.055600e-01,0.12
5.055800e-01,0.18
5.056000e-01,0.1
5.056200e-01,0.08
5.056400e-01,0.2
5.056600e-01,0.18
5.056800e-01,0.08
5.057000e-01,-0.2
5.057200e-01,-0.44
5.057400e-01,-0.32
5.057600e-01,0.02
5.057800e-01,0.46
5.058000e-01,0.34
5.058200e-01,-0.04
5.058400e-01,-0.2
5.058600e-01,-0.24
5.058800e-01,-0.2
5.059000e-01,0.04
5.059200e-01,0.42
5.059400e-01,0.34
5.059600e-01,-0.2
5.059800e-01,-0.68
5.060000e-01,-0.42
5.060200e-01,0.26
5.060400e-01,0.86
5.060600e-01,0.76
5.060800e-01,-0.04
5.061000e-01,-0.82
5.061200e-01,-0.9
5.061400e-01,-0.34
5.061600e-01,0.44
5.061800e-01,0.86
5.062000e-01,0.64
5.062200e-01,0.1
5.062400e-01,-0.34
5.062600e-01,-0.54
5.062800e-01,-0.44
5.063000e-01,-0.28
5.063200e-01,-0.02
5.063400e-01,0.46
5.063600e-01,0.86
5.063800e-01,0.68
5.064000e-01,-0.04
5.064200e-01,-0.9
5.064400e-01,-1.14
5.064600e-01,-0.54
5.064800e-01,0.46
5.065000e-01,1.18
5.065200e-01,0.98
5.065400e-01,0.04
5.065600e-01,-0.66
5.065800e-01,-0.7
5.066000e-01,-0.28
5.066200e-01,-0.02
5.066400e-01,0.14
5.066600e-01,0.2
5.066800e-01,0.24
5.067000e-01,0.26
5.067200e-01,0.18
5.067400e-01,0.14
5.067600e-01,0.06
5.067800e-01,-0.34
5.068000e-01,-0.66
5.068200e-01,-0.48
5.068400e-01,0.04
5.068600e-01,0.56
5.068800e-01,0.64
5.069000e-01,0.48
5.069200e-01,0.2
5.069400e-01,-0.34
5.069600e-01,-0.9
5.069800e-01,-0.88
5.070000e-01,-0.12
5.070200e-01,0.72
5.070400e-01,0.84
5.070600e-01,0.4
5.070800e-01,-0.18
5.071000e-01,-0.48
5.071200e-01,-0.4
5.071400e-01,-0.22
5.071600e-01,0.1
5.071800e-01,0.46
5.072000e-01,0.56
5.072200e-01,0.24
5.072400e-01,-0.24
5.072600e-01,-0.58
5.072800e-01,-0.46
5.073000e-01,0.1
5.073200e-01,0.64
5.073400e-01,0.62
5.073600e-01,0.16
5.073800e-01,-0.6
5.074000e-01,-0.88
5.074200e-01,-0.56
5.074400e-01,0.26
5.074600e-01,0.82
5.074800e-01,0.9
5.075000e-01,0.38
5.075200e-01,-0.46
5.075400e-01,-0.96
5.075600e-01,-0.78
5.075800e-01,-0.08
5.076000e-01,0.64
5.076200e-01,0.88
5.076400e-01,0.62
5.076600e-01,0.1
5.076800e-01,-0.48
5.077000e-01,-0.76
5.077200e-01,-0.42
5.077400e-01,0.12
5.077600e-01,0.52
5.077800e-01,0.52
5.078000e-01,0.26
5.078200e-01,-0.12
5.078400e-01,-0.5
5.078600e-01,-0.46
5.078800e-01,-0.04
5.079000e-01,0.32
5.079200e-01,0.3
5.079400e-01,0.12
5.079600e-01,0.08
5.079800e-01,-0.02
5.080000e-01,-0.18
5.080200e-01,-0.16
5.080400e-01,0.04
5.080600e-01,0.2
5.080800e-01,0.06
5.081000e-01,-0.22
5.081200e-01,-0.12
5.081400e-01,0.16
5.081600e-01,0.46
5.081800e-01,0.22
5.082000e-01,-0.14
5.082200e-01,-0.32
5.082400e-01,-0.2
5.082600e-01,0.04
5.082800e-01,0.12
5.083000e-01,0.04
5.083200e-01,0.14
5.083400e-01,0.28
5.083600e-01,0.18
5.083800e-01,-0.12
5.084000e-01,-0.58
5.084200e-01,-0.62
5.084400e-01,-0.02
5.084600e-01,0.78
5.084800e-01,1.02
5.085000e-01,0.46
5.085200e-01,-0.3
5.085400e-01,-0.68
5.085600e-01,-0.5
5.085800e-01,-0.1
5.086000e-01,0.22
5.086200e-01,0.34
5.086400e-01,0.24
5.086600e-01,-0.06
5.086800e-01,-0.22
5.087000e-01,-0.18
5.087200e-01,-0.08
5.087400e-01,0.16
5.087600e-01,0.3
5.087800e-01,0.28
5.088000e-01,0.1
5.088200e-01,-0.18
5.088400e-01,-0.44
5.088600e-01,-0.38
5.088800e-01,-0.06
5.089000e-01,0.28
5.089200e-01,0.52
5.089400e-01,0.4
5.089600e-01,-0.02
5.089800e-01,-0.44
5.090000e-01,-0.58
5.090200e-01,-0.48
5.090400e-01,0.08
5.090600e-01,0.64
5.090800e-01,0.72
5.091000e-01,0.34
5.091200e-01,-0.12
5.091400e-01,-0.54
5.091600e-01,-0.66
5.091800e-01,-0.22
5.092000e-01,0.42
5.092200e-01,0.4
5.092400e-01,-1.11022e-16
5.092600e-01,-0.14
5.092800e-01,0.14
5.093000e-01,0.42
5.093200e-01,0.3
5.093400e-01,-0.14
5.093600e-01,-0.44
5.093800e-01,-0.34
5.094000e-01,-0.18
5.094200e-01,0.06
5.094400e-01,0.3
5.094600e-01,0.48
5.094800e-01,0.46
5.095000e-01,0.16
5.095200e-01,-0.34
5.095400e-01,-0.68
5.095600e-01,-0.56
5.095800e-01,0.06
5.096000e-01,0.58
5.096200e-01,0.82
5.096400e-01,0.6
5.096600e-01,-0.18
5.096800e-01,-0.82
5.097000e-01,-0.92
5.097200e-01,-0.28
5.097400e-01,0.48
5.097600e-01,0.9
5.097800e-01,0.8
5.098000e-01,0.32
5.098200e-01,-0.28
5.098400e-01,-0.7
5.098600e-01,-0.64
5.098800e-01,-0.24
5.099000e-01,0.12
5.099200e-01,0.32
5.099400e-01,0.42
5.099600e-01,0.3
5.099800e-01,-0.06
5.100000e-01,-0.28
5.100200e-01,-0.08
5.100400e-01,0.18
5.100600e-01,0.12
5.100800e-01,-0.2
5.101000e-01,-0.28
5.101200e-01,0.04
5.101400e-01,0.3
5.101600e-01,0.28
5.101800e-01,0.06
5.102000e-01,-0.1
5.102200e-01,-0.08
5.102400e-01,0.02
5.102600e-01,-0.02
5.102800e-01,-0.28
5.103000e-01,-0.3
5.103200e-01,0.1
5.103400e-01,0.58
5.103600e-01,0.58
5.103800e-01,0.16
5.104000e-01,-0.4
5.104200e-01,-0.64
5.104400e-01,-0.28
5.104600e-01,0.3
5.104800e-01,0.5
5.105000e-01,0.24
5.105200e-01,-0.18
5.105400e-01,-0.32
5.105600e-01,-0.08
5.105800e-01,0.2
5.106000e-01,0.16
5.106200e-01,0.14
5.106400e-01,0.16
5.106600e-01,0.04
5.106800e-01,-0.2
5.107000e-01,-0.26
5.107200e-01,-1.11022e-16
5.107400e-01,0.36
5.107600e-01,0.52
5.107800e-01,0.14
5.108000e-01,-0.48
5.108200e-01,-0.64
5.108400e-01,-0.22
5.108600e-01,0.4
5.108800e-01,0.62
5.109000e-01,0.3
5.109200e-01,-0.12
5.109400e-01,-0.2
5.109600e-01,-0.08
5.109800e-01,-1.11022e-16
5.110000e-01,-0.12
5.110200e-01,-0.2
5.110400e-01,-0.06
5.110600e-01,0.22
5.110800e-01,0.48
5.111000e-01,0.44
5.111200e-01,-0.02
5.111400e-01,-0.58
5.111600e-01,-0.7
5.111800e-01,-0.28
5.112000e-01,0.38
5.112200e-01,0.7
5.112400e-01,0.46
5.112600e-01,-0.2
5.112800e-01,-0.54
5.113000e-01,-0.44
5.113200e-01,0.02
5.113400e-01,0.44
5.113600e-01,0.4
5.113800e-01,-1.11022e-16
5.114000e-01,-0.38
5.114200e-01,-0.38
5.114400e-01,-0.02
5.114600e-01,0.54
5.114800e-01,0.72
5.115000e-01,0.52
5.115200e-01,-0.02
5.115400e-01,-0.7
5.115600e-01,-1.08
5.115800e-01,-0.72
5.116000e-01,0.22
5.116200e-01,1.1
5.116400e-01,1.24
5.116600e-01,0.5
5.116800e-01,-0.4
5.117000e-01,-0.92
5.117200e-01,-0.86
5.117400e-01,-0.36
5.117600e-01,0.42
5.117800e-01,0.86
5.118000e-01,0.68
5.118200e-01,0.1
5.118400e-01,-0.4
5.118600e-01,-0.58
5.118800e-01,-0.26
5.119000e-01,0.28
5.119200e-01,0.5
5.119400e-01,0.2
5.119600e-01,-0.34
5.119800e-01,-0.5
5.120000e-01,-0.08
5.120200e-01,0.56
