Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83216,-,-,-,34.01,-116.22,-8,1401,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,Surface Albedo
2016,1,1,0,0,0,0,0,0,0,0,1,-39,-2,85,3802,16872,297,346,1,0,0.1777999997138977
2016,1,1,0,30,0,0,0,0,0,0,1,-39,-2,85,3802,16569,296,346,1,0,0.1777999997138977
2016,1,1,1,0,0,0,0,0,0,0,4,-38,-2,85,3880,16082,296,346,1,0,0.1777999997138977
2016,1,1,1,30,0,0,0,0,0,0,4,-38,-2,85,3880,15517,297,346,1,0,0.1777999997138977
2016,1,1,2,0,0,0,0,0,0,0,4,-37,-2,85,3968,14919,298,345,1,0,0.1777999997138977
2016,1,1,2,30,0,0,0,0,0,0,4,-37,-2,85,3968,14306,300,345,1,0,0.1777999997138977
2016,1,1,3,0,0,0,0,0,0,0,4,-35,-2,85,4089,13686,303,343,1,0,0.1777999997138977
2016,1,1,3,30,0,0,0,0,0,0,4,-35,-2,85,4088,13064,303,343,1,0,0.1777999997138977
2016,1,1,4,0,0,0,0,0,0,0,4,-34,-2,85,4196,12445,304,343,1,0,0.1777999997138977
2016,1,1,4,30,0,0,0,0,0,0,4,-34,-2,85,4196,11829,305,343,1,0,0.1777999997138977
2016,1,1,5,0,0,0,0,0,0,0,4,-30,-3,85,4581,11221,307,341,1,0,0.1777999997138977
2016,1,1,5,30,0,0,0,0,0,0,4,-30,-3,85,4582,10622,310,341,1,0,0.1777999997138977
2016,1,1,6,0,0,0,0,0,0,0,4,-30,-3,85,4611,10034,314,341,1,0,0.1777999997138977
